Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct) 
11781	0.00026503	-0.0001101	-0.00001408	0.00015179	-0.000005379	-0.000027971
11781	-0.00023762	0.00010629	-3.8244E-06	-0.00013916	8.0362E-06	0.00004166
11782	0.00027938	-0.00011628	-0.000013733	0.0001631	-5.1198E-06	-0.000026145
11782	-0.00025231	0.00011273	-4.3765E-06	-0.00015048	7.9767E-06	0.000040602
11783	0.00029389	-0.00012226	-0.000013324	0.00017729	-4.9308E-06	-0.000024395
11783	-0.00026721	0.00011894	-4.8236E-06	-0.00016451	8.0027E-06	0.000039469
11784	0.00030867	-0.0001281	-0.000012782	0.00019436	-4.7795E-06	-0.000022677
11784	-0.00028253	0.00012498	-5.1583E-06	-0.00018135	8.0948E-06	0.0000383
11785	0.00032417	-0.00013421	-0.000012134	0.00021256	-4.5913E-06	-0.000020926
11785	-0.0002987	0.00013124	-5.3756E-06	-0.00019938	8.1676E-06	0.000037149
11786	0.00034087	-0.00014106	-0.000011384	0.00022984	-4.3079E-06	-0.000019079
11786	-0.00031605	0.00013812	-5.4884E-06	-0.00021661	8.1466E-06	0.000036049
11787	0.00035873	-0.00014871	-0.000010619	0.00024528	-3.9224E-06	-0.000017094
11787	-0.00033453	0.00014573	-5.5481E-06	-0.00023214	8.0281E-06	0.000035019
11788	0.00037738	-0.00015693	-9.8745E-06	0.00025916	-3.4629E-06	-0.000014966
11788	-0.00035374	0.00015391	-0.000005657	-0.00024623	7.8522E-06	0.000034067
11789	0.00039645	-0.00016542	-9.1234E-06	0.00027267	-2.9687E-06	-0.000012735
11789	-0.0003733	0.00016231	-5.7715E-06	-0.00025993	0.00000767	0.000033181
11790	0.00041561	-0.00017379	-8.4307E-06	0.00028725	-2.4669E-06	-0.000010437
11790	-0.00039291	0.00017065	-5.9574E-06	-0.00027467	0.000007524	0.000032343
11791	0.00043477	-0.00018192	-0.000007787	0.00030367	-1.9652E-06	-8.1088E-06
11791	-0.00041247	0.00017879	-6.2094E-06	-0.00029116	7.4252E-06	0.00003154
11792	0.00045433	-0.00019014	-0.000007159	0.00032092	-1.4537E-06	-5.7711E-06
11792	-0.00043225	0.00018697	-6.5034E-06	-0.00030836	7.3367E-06	0.000030765
11793	0.00047468	-0.00019891	-6.5734E-06	0.0003368	-9.2577E-07	-0.000003428
11793	-0.00045274	0.00019571	-6.8761E-06	-0.00032423	0.000007205	0.000030009
11794	0.00049579	-0.00020829	-6.0495E-06	0.00035071	-4.0205E-07	-0.000001129
