Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct)
11786	-0.0012132	0.00047461	-5.3071E-06	-0.0011769	0.000016575	0.000047673
11787	0.0011599	-0.00046356	0.000036613	0.0011611	0.000010928	0.00003927
11787	-0.001217	0.00047187	-5.6797E-06	-0.001208	0.000014846	0.000041204
11788	0.0011657	-0.00046308	0.000037032	0.0011849	0.000011759	0.000041335
11788	-0.0012222	0.00047102	-6.0693E-06	-0.0012319	0.000013021	0.000034975
11789	0.0011717	-0.00046309	0.000037571	0.0012063	0.000012568	0.000043338
11789	-0.0012276	0.00047054	-6.1731E-06	-0.0012532	0.000011204	0.000029044
11790	0.0011762	-0.0004619	0.000037999	0.0012296	0.0000134	0.000045224
11790	-0.0012317	0.0004689	-6.2195E-06	-0.0012766	9.4583E-06	0.000023437
11791	0.0011785	-0.00045882	0.000038253	0.0012562	0.000014263	0.000046941
11791	-0.0012336	0.00046538	-6.2738E-06	-0.0013035	7.7986E-06	0.000018195
11792	0.0011799	-0.00045506	0.000038341	0.0012827	0.000015103	0.000048472
11792	-0.001234	0.00046112	-6.3396E-06	-0.0013301	6.2047E-06	0.000013337
11793	0.0011823	-0.00045267	0.000038233	0.0013039	0.000015837	0.000049842
11793	-0.0012357	0.00045842	-6.4509E-06	-0.0013512	4.6576E-06	8.8448E-06
11794	0.0011864	-0.00045213	0.000038053	0.0013194	0.000016424	0.000050995
11794	-0.0012393	0.00045775	-6.4853E-06	-0.0013667	0.000003191	4.7477E-06
11795	0.0011897	-0.00045096	0.000037961	0.0013364	0.000016919	0.000051782
11795	-0.001242	0.00045623	-0.000006302	-0.0013833	1.8659E-06	1.1368E-06
11796	0.0011887	-0.00044556	0.000037836	0.0013627	0.000017426	0.000052089
11796	-0.0012398	0.00045019	-6.0486E-06	-0.0014093	6.9668E-07	-1.9414E-06
11797	0.0011821	-0.00043532	0.000037449	0.0013971	0.000017951	0.000051945
11797	-0.0012322	0.00043945	-5.9749E-06	-0.001444	-3.6181E-07	-4.5619E-06
11798	0.0011744	-0.00042468	0.000036536	0.001428	0.00001835	0.000051516
11798	-0.0012236	0.00042878	-6.3623E-06	-0.0014756	-1.3503E-06	-6.8659E-06
11799	0.001171	-0.00041872	0.000035471	0.0014463	0.000018474	0.000050923
11799	-0.0012188	0.00042286	-6.8424E-06	-0.0014936	-2.2549E-06	-8.9242E-06
11800	0.0011715	-0.00041686	0.000034639	0.0014552	0.000018351	0.000050131
